Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,37,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,30.55,7.64,22,0
EPX,Travel Agency,Online,Others,30,Others,10.0,0.0,32,0
Others,Airlines,Online,Others,26,Others,35.0,12.25,27,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,Others,49.5,29.7,35,0
EPX,Travel Agency,Online,Others,83,Others,80.0,0.0,61,0
Others,Airlines,Online,Others,9,Others,18.0,6.3,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,Others,0.0,17.82,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,55,Others,98.0,0.0,36,0
EPX,Travel Agency,Online,Others,18,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,100,Others,0.0,0.0,37,0
EPX,Travel Agency,Online,Others,8,SINGAPORE,10.0,0.0,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Others,49.5,29.7,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,Others,36.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,18,Others,77.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,55,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,1,SINGAPORE,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,Others,29.7,17.82,43,0
EPX,Travel Agency,Online,Others,35,Others,10.0,0.0,29,0
EPX,Travel Agency,Online,Others,36,Others,47.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,75,Others,78.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,0.0,5.63,25,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,Others,69.3,41.58,50,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,Others,69.3,41.58,34,0
EPX,Travel Agency,Online,Others,73,Others,0.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,Others,69.3,41.58,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,Others,20.0,0.0,29,0
EPX,Travel Agency,Online,Others,232,Others,80.0,0.0,36,0
Others,Airlines,Online,Others,42,Others,35.0,12.25,43,0
EPX,Travel Agency,Online,Others,37,Others,33.0,0.0,29,0
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,21.0,5.25,22,0
EPX,Travel Agency,Online,Others,35,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,7,SINGAPORE,64.0,0.0,35,0
EPX,Travel Agency,Online,Others,15,SINGAPORE,20.0,0.0,36,0
Others,Airlines,Online,Others,3,Others,15.0,6.0,38,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,Others,26.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,Others,227.7,136.62,50,0
EPX,Travel Agency,Online,Others,6,SINGAPORE,10.0,0.0,35,0
Others,Travel Agency,Online,Others,26,Others,48.5,31.53,23,0
Others,Airlines,Online,Others,173,Others,33.0,11.55,44,0
EPX,Travel Agency,Online,Others,74,SINGAPORE,40.0,0.0,36,0
Others,Airlines,Online,Others,23,Others,22.0,7.7,57,0
EPX,Travel Agency,Online,Others,2,Others,24.0,0.0,35,0
Others,Airlines,Online,Others,7,Others,29.0,10.15,118,0
C2B,Airlines,Online,Bronze Plan,82,SINGAPORE,161.0,40.25,50,0
CWT,Travel Agency,Offline,Rental Vehicle Excess Insurance,66,Others,99.0,59.4,57,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,156,Others,26.0,0.0,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,Others,59.4,35.64,29,0
Others,Airlines,Online,Others,10,Others,45.0,15.75,45,0
Others,Airlines,Offline,Others,16,Others,37.0,12.95,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,SINGAPORE,44.0,0.0,36,0
EPX,Travel Agency,Online,Others,73,Others,33.0,0.0,53,0
EPX,Travel Agency,Online,Others,3,Others,30.0,0.0,36,0
EPX,Travel Agency,Online,Others,8,Others,19.0,0.0,36,0
EPX,Travel Agency,Online,Others,39,Others,20.0,0.0,20,0
Others,Travel Agency,Online,Others,95,Others,75.0,28.5,48,0
EPX,Travel Agency,Online,Others,98,Others,21.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,31,0
EPX,Travel Agency,Online,Others,111,Others,22.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.55,4.39,30,0
EPX,Travel Agency,Online,Others,31,Others,51.0,0.0,36,0
EPX,Travel Agency,Online,Others,13,Others,0.0,0.0,35,0
EPX,Travel Agency,Online,Others,13,Others,10.0,0.0,47,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,53,Others,29.7,17.82,54,0
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,80.25,20.06,29,0
EPX,Travel Agency,Online,Others,18,Others,63.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,Others,33.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,95,Others,0.0,5.94,31,0
EPX,Travel Agency,Online,Others,37,Others,12.0,0.0,35,0
EPX,Travel Agency,Online,Others,87,Others,64.0,0.0,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,Others,112.0,0.0,36,0
EPX,Travel Agency,Online,Others,70,Others,10.0,0.0,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,Others,30.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,151,Others,112.0,0.0,69,0
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,34,0
EPX,Travel Agency,Online,Others,45,Others,53.0,0.0,36,0
EPX,Travel Agency,Online,Others,20,Others,38.0,0.0,35,0
EPX,Travel Agency,Online,Others,3,SINGAPORE,15.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.0,4.25,52,1
EPX,Travel Agency,Online,Others,37,SINGAPORE,24.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,Others,59.4,35.64,53,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,54,Others,54.0,0.0,36,0
EPX,Travel Agency,Online,Others,23,SINGAPORE,37.0,0.0,36,0
EPX,Travel Agency,Online,Others,10,Others,36.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,Others,19.8,11.88,25,1
EPX,Travel Agency,Online,Others,31,Others,33.0,0.0,36,0
EPX,Travel Agency,Online,Others,38,Others,69.0,0.0,36,0
Others,Airlines,Online,Others,4,Others,15.0,6.0,28,0
Others,Airlines,Online,Others,38,Others,30.0,10.5,46,0
EPX,Travel Agency,Online,Others,114,Others,115.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,76.3,19.07,35,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,118,Others,20.0,0.0,30,0
EPX,Travel Agency,Online,Others,62,Others,26.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,19.5,4.88,27,0
EPX,Travel Agency,Online,Others,2,Others,19.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,27,0
C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,62.0,15.5,23,1
Others,Airlines,Online,Others,19,Others,26.0,9.1,40,0
Others,Airlines,Online,Others,2,Others,15.0,6.0,58,0
Others,Airlines,Online,Others,28,Others,30.0,10.5,33,0
EPX,Travel Agency,Online,Others,14,Others,11.0,0.0,36,0
Others,Airlines,Online,Others,36,SINGAPORE,3.73,1.05,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,42,Others,26.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,Others,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,12,SINGAPORE,80.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,Others,19.8,11.88,45,0
EPX,Travel Agency,Online,Others,20,Others,11.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,112,SINGAPORE,79.0,0.0,36,0
EPX,Travel Agency,Online,Others,326,Others,19.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,74,Others,138.6,83.16,50,0
EPX,Travel Agency,Online,Others,22,SINGAPORE,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,Others,49.5,29.7,35,0
EPX,Travel Agency,Online,Others,59,Others,18.0,0.0,30,0
EPX,Travel Agency,Online,Others,3,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,4,Others,10.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,22.5,5.63,22,1
Others,Airlines,Online,Others,43,Others,42.0,14.7,43,0
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,39.0,9.75,50,0
EPX,Travel Agency,Online,Others,29,Others,59.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,Others,59.4,35.64,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,Others,29.7,17.82,41,0
Others,Airlines,Online,Others,27,Others,22.0,7.7,39,0
Others,Airlines,Online,Others,19,Others,44.0,15.4,41,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,27,0
EPX,Travel Agency,Online,Others,16,SINGAPORE,10.0,0.0,70,0
EPX,Travel Agency,Online,Others,21,Others,26.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,Others,29.7,17.82,25,0
Others,Airlines,Online,Others,7,Others,18.0,6.3,53,0
Others,Airlines,Online,Others,97,SINGAPORE,5.59,1.57,48,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,20,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,Others,29.7,17.82,51,0
Others,Travel Agency,Offline,Others,63,Others,30.0,10.5,76,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,53.25,13.31,33,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,65,0
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,62.25,15.56,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,Others,23.0,0.0,36,0
Others,Travel Agency,Online,Others,74,Others,75.0,28.5,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,Others,25.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,Others,93.0,0.0,36,0
EPX,Travel Agency,Online,Others,60,Others,30.0,0.0,36,0
EPX,Travel Agency,Online,Others,11,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,45,SINGAPORE,1.03,0.29,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Others,0.0,23.76,41,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,Others,27.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,32.0,8.0,74,0
Others,Travel Agency,Online,Others,17,Others,56.5,36.73,35,0
Others,Airlines,Online,Others,14,Others,39.0,13.65,39,0
Others,Airlines,Online,Others,18,Others,58.0,20.3,48,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,41,0
EPX,Travel Agency,Online,Others,38,Others,32.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,Others,39.6,23.76,57,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,Others,72.0,0.0,36,0
Others,Airlines,Online,Others,39,Others,22.0,7.7,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,Others,34.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,29,0
Others,Airlines,Online,Others,10,Others,22.0,7.7,66,0
Others,Airlines,Online,Others,51,Others,22.0,7.7,36,0
EPX,Travel Agency,Online,Others,38,SINGAPORE,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,7,Others,37.0,0.0,36,0
EPX,Travel Agency,Online,Others,180,Others,10.0,0.0,28,0
EPX,Travel Agency,Offline,2 way Comprehensive Plan,23,Others,20.0,0.0,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,39,Others,59.0,0.0,36,0
EPX,Travel Agency,Online,Others,7,Others,28.0,0.0,36,0
EPX,Travel Agency,Online,Others,2,Others,22.0,0.0,36,0
EPX,Travel Agency,Online,Others,160,Others,41.0,0.0,36,0
EPX,Travel Agency,Online,Others,25,Others,32.0,0.0,36,0
Others,Travel Agency,Offline,Others,368,SINGAPORE,97.0,0.0,37,0
EPX,Travel Agency,Online,Others,73,Others,128.0,0.0,36,0
EPX,Travel Agency,Online,Others,39,Others,19.0,0.0,36,0
Others,Airlines,Online,Others,9,Others,45.0,15.75,45,1
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,43,0
EPX,Travel Agency,Online,Others,26,Others,24.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,Others,29.0,0.0,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,65,Others,9.9,5.94,31,0
EPX,Travel Agency,Online,Others,11,SINGAPORE,80.0,0.0,36,0
Others,Airlines,Online,Others,14,Others,26.0,9.1,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,Others,43.0,0.0,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,93,Others,20.0,0.0,45,0
Others,Airlines,Online,Others,71,Others,58.0,20.3,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,19.8,11.88,47,0
EPX,Travel Agency,Online,Others,25,SINGAPORE,20.0,0.0,35,0
Others,Airlines,Online,Others,0,Others,22.0,7.7,34,0
EPX,Travel Agency,Online,Others,2,Others,16.0,0.0,35,0
EPX,Travel Agency,Online,Others,34,Others,21.0,0.0,32,0
EPX,Travel Agency,Online,Others,5,SINGAPORE,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,Others,30.0,0.0,36,0
Others,Airlines,Online,Others,9,Others,26.0,9.1,63,0
EPX,Travel Agency,Online,Others,8,Others,15.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,30.0,0.0,29,0
EPX,Travel Agency,Online,Others,28,Others,20.0,0.0,41,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,76,Others,45.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,Others,138.6,83.16,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,Others,26.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,55,0
EPX,Travel Agency,Online,Others,17,SINGAPORE,10.0,0.0,39,0
EPX,Travel Agency,Online,Others,15,Others,66.0,0.0,36,0
EPX,Travel Agency,Online,Others,110,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,Others,5,Others,10.0,0.0,22,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,41,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,49.5,29.7,31,0
EPX,Travel Agency,Online,Others,2,Others,20.0,0.0,21,0
Others,Airlines,Online,Others,146,SINGAPORE,0.19,0.05,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,Others,29.7,17.82,60,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,Others,25.0,0.0,34,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,Others,49.5,29.7,48,0
Others,Airlines,Online,Others,116,Others,18.0,6.3,39,0
Others,Airlines,Online,Others,2,Others,22.0,7.7,36,0
EPX,Travel Agency,Online,Others,129,Others,10.0,0.0,41,0
EPX,Travel Agency,Online,Others,62,Others,50.0,0.0,36,0
EPX,Travel Agency,Online,Others,6,Others,23.0,0.0,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,Others,39.6,23.76,47,0
Others,Airlines,Online,Others,84,Others,69.0,24.15,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,Others,112.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,Others,20.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,21,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,Others,21.0,0.0,36,0
Others,Airlines,Offline,Others,43,Others,83.0,29.05,59,0
EPX,Travel Agency,Online,Others,19,Others,34.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,149,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,73,Others,16.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,35.5,8.88,29,0
Others,Airlines,Online,Others,17,Others,58.0,20.3,30,0
Others,Travel Agency,Offline,Others,38,Others,30.0,10.5,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,5,Others,38.0,0.0,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,Others,53.0,0.0,36,0
Others,Airlines,Online,Others,39,Others,26.0,9.1,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,Others,35.0,0.0,36,0
EPX,Travel Agency,Online,Others,70,Others,80.0,0.0,59,0
EPX,Travel Agency,Online,Others,7,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,4,Others,18.0,6.3,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,Others,30.0,0.0,27,0
EPX,Travel Agency,Online,Others,3,Others,18.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,Others,20.0,0.0,43,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,100,Others,59.4,35.64,31,0
EPX,Travel Agency,Online,Others,13,SINGAPORE,24.0,0.0,36,0
Others,Airlines,Online,Others,68,Others,40.0,14.0,21,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,28,0
C2B,Airlines,Online,Silver Plan,64,SINGAPORE,63.5,15.88,60,0
EPX,Travel Agency,Online,Others,8,Others,73.0,0.0,36,0
Others,Airlines,Online,Others,5,Others,45.0,15.75,42,0
EPX,Travel Agency,Online,Others,14,Others,13.0,0.0,36,0
EPX,Travel Agency,Online,Others,13,Others,14.0,0.0,36,0
EPX,Travel Agency,Online,Others,9,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,31,Others,16.0,0.0,27,0
EPX,Travel Agency,Online,Others,44,Others,10.0,0.0,53,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,24,SINGAPORE,112.0,0.0,36,0
EPX,Travel Agency,Online,Others,25,Others,19.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,77,Others,112.0,0.0,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,Others,41.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,Others,28.0,0.0,36,0
EPX,Travel Agency,Online,Others,101,Others,66.0,0.0,39,0
Others,Airlines,Online,Others,145,SINGAPORE,1.61,0.45,48,0
EPX,Travel Agency,Online,Others,88,Others,102.0,0.0,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,222,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,Others,20.0,0.0,36,0
Others,Travel Agency,Offline,Others,176,Others,29.0,9.57,76,0
EPX,Travel Agency,Online,Others,38,Others,26.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,Others,9.9,5.94,45,0
EPX,Travel Agency,Online,Others,165,Others,10.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,43.55,10.89,47,0
EPX,Travel Agency,Online,Others,16,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,Others,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,19,Others,25.0,0.0,36,0
Others,Airlines,Online,Others,2,Others,15.0,6.0,66,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,Others,9.9,5.94,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,69,Others,81.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,Others,59.4,35.64,40,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,Others,0.0,17.82,30,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,47,0
EPX,Travel Agency,Online,Others,2,SINGAPORE,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,Others,75.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,45,Others,79.2,47.52,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,Others,94.0,0.0,36,0
Others,Airlines,Online,Others,169,SINGAPORE,1.32,0.37,48,0
EPX,Travel Agency,Online,Others,2,Others,12.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,Others,20.0,0.0,45,0
C2B,Airlines,Online,Annual Silver Plan,387,SINGAPORE,252.85,63.21,37,0
Others,Airlines,Online,Others,10,Others,35.0,12.25,59,0
EPX,Travel Agency,Online,Others,19,SINGAPORE,21.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,Others,29.7,17.82,31,0
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,109.0,27.25,27,0
Others,Airlines,Online,Others,39,Others,33.0,11.55,44,0
EPX,Travel Agency,Online,Others,18,SINGAPORE,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,40,Others,80.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,68,0
EPX,Travel Agency,Online,Others,49,Others,19.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,72.5,18.13,26,1
EPX,Travel Agency,Online,Others,13,Others,10.0,0.0,26,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,39.6,23.76,40,0
EPX,Travel Agency,Online,Others,6,Others,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,99.0,59.4,51,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,41,0
EPX,Travel Agency,Online,Others,21,Others,10.0,0.0,25,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,Others,27.0,0.0,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,Others,22.0,0.0,36,0
EPX,Travel Agency,Online,Others,5,Others,10.0,0.0,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,109,Others,39.6,23.76,49,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,Others,35.0,0.0,36,0
EPX,Travel Agency,Online,Others,6,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,14,Others,35.0,12.25,47,0
C2B,Airlines,Online,Silver Plan,41,SINGAPORE,33.5,8.38,29,0
Others,Airlines,Online,Others,12,Others,39.0,15.6,118,0
C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,280.8,70.2,68,0
Others,Airlines,Online,Others,15,Others,31.0,12.4,37,0
