Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,0,0,Cancellation Plan,38,Others,58.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,12,Others,9.9,5.94,26,0
EPX,0,0,Cancellation Plan,4,SINGAPORE,15.0,0.0,68,0
EPX,0,0,Cancellation Plan,42,Others,21.0,0.0,36,0
EPX,0,0,Cancellation Plan,11,MALAYSIA,29.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,2,Others,32.0,0.0,35,0
JZI,1,0,Others,30,Others,125.0,43.75,43,0
EPX,0,0,2 way Comprehensive Plan,8,CHINA,48.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,13,MALAYSIA,29.7,17.82,27,0
EPX,0,0,Cancellation Plan,34,Others,20.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,24,Others,0.0,23.76,27,0
Others,1,0,Others,3,Others,21.04,7.36,48,0
EPX,0,0,2 way Comprehensive Plan,40,Others,33.0,0.0,36,0
JZI,1,0,Others,5,CHINA,26.0,9.1,29,0
EPX,0,0,2 way Comprehensive Plan,79,Others,23.0,0.0,39,0
Others,0,1,Others,43,MALAYSIA,29.0,9.57,8,0
EPX,0,0,Cancellation Plan,25,Others,34.0,0.0,36,0
C2B,1,0,Others,16,SINGAPORE,30.55,7.64,22,0
EPX,0,0,Cancellation Plan,30,Others,10.0,0.0,32,0
JZI,1,0,Others,26,CHINA,35.0,12.25,27,0
CWT,0,0,Rental Vehicle Excess Insurance,6,Others,49.5,29.7,35,0
EPX,0,0,Cancellation Plan,83,Others,80.0,0.0,61,0
JZI,1,0,Others,9,Others,18.0,6.3,49,0
CWT,0,0,Rental Vehicle Excess Insurance,14,Others,0.0,17.82,31,0
EPX,0,0,2 way Comprehensive Plan,55,Others,98.0,0.0,36,0
EPX,0,0,Cancellation Plan,18,Others,10.0,0.0,36,0
EPX,0,0,Cancellation Plan,100,Others,0.0,0.0,37,0
EPX,0,0,Cancellation Plan,8,SINGAPORE,10.0,0.0,31,0
CWT,0,0,Rental Vehicle Excess Insurance,20,Others,49.5,29.7,56,0
EPX,0,0,2 way Comprehensive Plan,26,CHINA,36.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,18,Others,77.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,55,Others,20.0,0.0,36,0
EPX,0,0,Others,1,SINGAPORE,20.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,18,Others,29.7,17.82,43,0
EPX,0,0,Cancellation Plan,35,Others,10.0,0.0,29,0
EPX,0,0,Cancellation Plan,36,Others,47.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,75,Others,78.0,0.0,36,0
C2B,1,0,Others,23,SINGAPORE,0.0,5.63,25,0
CWT,0,0,Rental Vehicle Excess Insurance,8,Others,69.3,41.58,50,0
CWT,0,0,Rental Vehicle Excess Insurance,42,Others,69.3,41.58,34,0
EPX,0,0,Cancellation Plan,73,Others,0.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,9,THAILAND,69.3,41.58,28,0
EPX,0,0,2 way Comprehensive Plan,32,Others,20.0,0.0,29,0
JZI,1,0,Others,42,Others,35.0,12.25,43,0
EPX,0,0,Cancellation Plan,37,Others,33.0,0.0,29,0
C2B,1,0,Others,10,SINGAPORE,21.0,5.25,22,0
EPX,0,0,Cancellation Plan,35,Others,10.0,0.0,36,0
EPX,0,0,Cancellation Plan,7,SINGAPORE,64.0,0.0,35,0
EPX,0,0,Others,15,SINGAPORE,20.0,0.0,36,0
Others,1,0,Others,3,Others,15.0,6.0,38,0
EPX,0,0,2 way Comprehensive Plan,17,CHINA,26.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,99,Others,227.7,136.62,50,0
EPX,0,0,Cancellation Plan,6,SINGAPORE,10.0,0.0,35,0
Others,0,0,Others,26,Others,48.5,31.53,23,0
EPX,0,0,Cancellation Plan,74,SINGAPORE,40.0,0.0,36,0
JZI,1,0,Others,23,Others,22.0,7.7,57,0
EPX,0,0,Others,2,Others,24.0,0.0,35,0
C2B,1,0,Others,82,SINGAPORE,161.0,40.25,50,0
CWT,0,1,Rental Vehicle Excess Insurance,66,Others,99.0,59.4,57,0
CWT,0,0,Rental Vehicle Excess Insurance,16,Others,59.4,35.64,29,0
JZI,1,0,Others,10,CHINA,45.0,15.75,45,0
EPX,0,0,2 way Comprehensive Plan,32,SINGAPORE,44.0,0.0,36,0
EPX,0,0,Cancellation Plan,73,THAILAND,33.0,0.0,53,0
EPX,0,0,Others,3,CHINA,30.0,0.0,36,0
EPX,0,0,Cancellation Plan,8,CHINA,19.0,0.0,36,0
EPX,0,0,Others,39,Others,20.0,0.0,20,0
Others,0,0,Others,95,Others,75.0,28.5,48,0
EPX,0,0,Cancellation Plan,98,Others,21.0,0.0,36,0
C2B,1,0,Others,9,SINGAPORE,39.0,9.75,31,0
C2B,1,0,Others,8,SINGAPORE,17.55,4.39,30,0
EPX,0,0,Cancellation Plan,31,Others,51.0,0.0,36,0
EPX,0,0,Cancellation Plan,13,CHINA,0.0,0.0,35,0
EPX,0,0,Cancellation Plan,13,MALAYSIA,10.0,0.0,47,0
CWT,0,0,Rental Vehicle Excess Insurance,53,Others,29.7,17.82,54,0
C2B,1,0,Others,40,SINGAPORE,80.25,20.06,29,0
EPX,0,0,Cancellation Plan,18,THAILAND,63.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,20,Others,33.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,95,Others,0.0,5.94,31,0
EPX,0,0,Cancellation Plan,37,Others,12.0,0.0,35,0
EPX,0,0,Cancellation Plan,87,Others,64.0,0.0,20,0
EPX,0,0,2 way Comprehensive Plan,9,CHINA,112.0,0.0,36,0
EPX,0,0,Cancellation Plan,70,Others,10.0,0.0,20,0
EPX,0,0,2 way Comprehensive Plan,25,Others,30.0,0.0,36,0
C2B,1,0,Others,19,SINGAPORE,72.0,18.0,34,0
EPX,0,0,Cancellation Plan,45,Others,53.0,0.0,36,0
EPX,0,0,Cancellation Plan,20,Others,38.0,0.0,35,0
EPX,0,0,Cancellation Plan,3,SINGAPORE,15.0,0.0,36,0
C2B,1,0,Others,11,SINGAPORE,17.0,4.25,52,1
EPX,0,0,Others,37,SINGAPORE,24.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,23,MALAYSIA,59.4,35.64,53,0
EPX,0,0,2 way Comprehensive Plan,54,Others,54.0,0.0,36,0
EPX,0,0,Cancellation Plan,23,SINGAPORE,37.0,0.0,36,0
EPX,0,0,Cancellation Plan,10,Others,36.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,25,1
EPX,0,0,Others,31,THAILAND,33.0,0.0,36,0
EPX,0,0,Cancellation Plan,38,Others,69.0,0.0,36,0
Others,1,0,Others,4,Others,15.0,6.0,28,0
JZI,1,0,Others,38,THAILAND,30.0,10.5,46,0
C2B,1,0,Others,13,SINGAPORE,76.3,19.07,35,1
EPX,0,0,Others,62,Others,26.0,0.0,36,0
C2B,1,0,Others,3,SINGAPORE,19.5,4.88,27,0
EPX,0,0,Cancellation Plan,2,CHINA,19.0,0.0,36,0
C2B,1,0,Others,11,SINGAPORE,29.5,7.38,27,0
C2B,1,0,Others,58,SINGAPORE,62.0,15.5,23,1
JZI,1,0,Others,19,CHINA,26.0,9.1,40,0
Others,1,0,Others,2,MALAYSIA,15.0,6.0,58,0
JZI,1,0,Others,28,MALAYSIA,30.0,10.5,33,0
EPX,0,0,Cancellation Plan,14,Others,11.0,0.0,36,0
Others,1,0,Others,36,SINGAPORE,3.73,1.05,48,0
EPX,0,0,2 way Comprehensive Plan,42,CHINA,26.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,11,Others,21.0,0.0,36,0
EPX,0,0,Cancellation Plan,12,SINGAPORE,80.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,3,MALAYSIA,19.8,11.88,45,0
EPX,0,0,Cancellation Plan,20,Others,11.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,74,Others,138.6,83.16,50,0
EPX,0,0,Cancellation Plan,22,SINGAPORE,10.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,24,Others,49.5,29.7,35,0
EPX,0,0,Cancellation Plan,59,Others,18.0,0.0,30,0
EPX,0,0,Others,3,MALAYSIA,20.0,0.0,36,0
EPX,0,0,Cancellation Plan,4,MALAYSIA,10.0,0.0,36,0
C2B,1,0,Others,19,SINGAPORE,22.5,5.63,22,1
JZI,1,0,Others,43,Others,42.0,14.7,43,0
C2B,1,0,Others,44,SINGAPORE,39.0,9.75,50,0
EPX,0,0,Cancellation Plan,29,Others,59.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,11,Others,59.4,35.64,42,0
CWT,0,0,Rental Vehicle Excess Insurance,18,MALAYSIA,29.7,17.82,41,0
JZI,1,0,Others,27,THAILAND,22.0,7.7,39,0
JZI,1,0,Others,19,Others,44.0,15.4,41,0
C2B,1,0,Others,6,SINGAPORE,16.0,4.0,27,0
EPX,0,0,Cancellation Plan,16,SINGAPORE,10.0,0.0,70,0
EPX,0,0,Cancellation Plan,21,Others,26.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,23,Others,29.7,17.82,25,0
JZI,1,0,Others,7,MALAYSIA,18.0,6.3,53,0
Others,1,0,Others,97,SINGAPORE,5.59,1.57,48,0
C2B,1,0,Others,16,SINGAPORE,33.5,8.38,20,0
CWT,0,0,Rental Vehicle Excess Insurance,17,Others,29.7,17.82,51,0
Others,0,1,Others,63,MALAYSIA,30.0,10.5,76,0
C2B,1,0,Others,6,SINGAPORE,53.25,13.31,33,0
C2B,1,0,Others,4,SINGAPORE,16.0,4.0,65,0
C2B,1,0,Others,21,SINGAPORE,62.25,15.56,34,0
EPX,0,0,2 way Comprehensive Plan,35,Others,23.0,0.0,36,0
Others,0,0,Others,74,Others,75.0,28.5,48,0
EPX,0,0,2 way Comprehensive Plan,16,Others,25.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,21,Others,93.0,0.0,36,0
EPX,0,0,Cancellation Plan,60,Others,30.0,0.0,36,0
EPX,0,0,Cancellation Plan,11,MALAYSIA,10.0,0.0,36,0
Others,1,0,Others,45,SINGAPORE,1.03,0.29,48,0
CWT,0,0,Rental Vehicle Excess Insurance,5,MALAYSIA,0.0,23.76,41,0
EPX,0,0,2 way Comprehensive Plan,43,CHINA,27.0,0.0,36,0
C2B,1,0,Others,24,SINGAPORE,32.0,8.0,74,0
Others,0,0,Others,17,Others,56.5,36.73,35,0
JZI,1,0,Others,14,THAILAND,39.0,13.65,39,0
JZI,1,0,Others,18,Others,58.0,20.3,48,0
C2B,1,0,Others,9,SINGAPORE,20.0,5.0,41,0
EPX,0,0,Cancellation Plan,38,Others,32.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,7,MALAYSIA,39.6,23.76,57,0
EPX,0,0,2 way Comprehensive Plan,20,Others,72.0,0.0,36,0
JZI,1,0,Others,39,Others,22.0,7.7,29,0
EPX,0,0,2 way Comprehensive Plan,17,Others,34.0,0.0,36,0
C2B,1,0,Others,5,SINGAPORE,16.0,4.0,29,0
JZI,1,0,Others,10,CHINA,22.0,7.7,66,0
JZI,1,0,Others,51,THAILAND,22.0,7.7,36,0
EPX,0,0,Others,38,SINGAPORE,20.0,0.0,36,0
EPX,0,0,Cancellation Plan,7,CHINA,37.0,0.0,36,0
EPX,0,1,2 way Comprehensive Plan,23,Others,20.0,0.0,31,0
EPX,0,0,2 way Comprehensive Plan,4,THAILAND,20.0,0.0,36,0
EPX,0,0,Cancellation Plan,39,Others,59.0,0.0,36,0
EPX,0,0,Cancellation Plan,7,Others,28.0,0.0,36,0
EPX,0,0,Cancellation Plan,2,Others,22.0,0.0,36,0
EPX,0,0,Cancellation Plan,25,Others,32.0,0.0,36,0
EPX,0,0,Cancellation Plan,73,Others,128.0,0.0,36,0
EPX,0,0,Cancellation Plan,39,Others,19.0,0.0,36,0
JZI,1,0,Others,9,Others,45.0,15.75,45,1
C2B,1,0,Others,6,SINGAPORE,22.5,5.63,43,0
EPX,0,0,Others,26,Others,24.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,25,Others,29.0,0.0,35,0
CWT,0,0,Rental Vehicle Excess Insurance,65,Others,9.9,5.94,31,0
EPX,0,0,Cancellation Plan,11,SINGAPORE,80.0,0.0,36,0
JZI,1,0,Others,14,CHINA,26.0,9.1,45,0
EPX,0,0,2 way Comprehensive Plan,5,Others,43.0,0.0,28,0
EPX,0,0,2 way Comprehensive Plan,93,Others,20.0,0.0,45,0
JZI,1,0,Others,71,Others,58.0,20.3,28,0
CWT,0,0,Rental Vehicle Excess Insurance,13,MALAYSIA,19.8,11.88,47,0
EPX,0,0,Others,25,SINGAPORE,20.0,0.0,35,0
JZI,1,0,Others,0,CHINA,22.0,7.7,34,0
EPX,0,0,Cancellation Plan,2,Others,16.0,0.0,35,0
EPX,0,0,Cancellation Plan,34,Others,21.0,0.0,32,0
EPX,0,0,Cancellation Plan,5,SINGAPORE,10.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,8,CHINA,30.0,0.0,36,0
JZI,1,0,Others,9,Others,26.0,9.1,63,0
EPX,0,0,Cancellation Plan,8,MALAYSIA,15.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,40,SINGAPORE,30.0,0.0,29,0
EPX,0,0,Others,28,Others,20.0,0.0,41,0
EPX,0,0,2 way Comprehensive Plan,76,Others,45.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,69,Others,138.6,83.16,48,0
EPX,0,0,2 way Comprehensive Plan,19,CHINA,26.0,0.0,36,0
C2B,1,0,Others,10,SINGAPORE,40.0,10.0,55,0
EPX,0,0,Cancellation Plan,17,SINGAPORE,10.0,0.0,39,0
EPX,0,0,Cancellation Plan,15,Others,66.0,0.0,36,0
EPX,0,0,Cancellation Plan,5,Others,10.0,0.0,22,0
C2B,1,0,Others,11,SINGAPORE,26.5,6.63,41,0
CWT,0,0,Rental Vehicle Excess Insurance,13,THAILAND,49.5,29.7,31,0
EPX,0,0,Others,2,MALAYSIA,20.0,0.0,21,0
CWT,0,0,Rental Vehicle Excess Insurance,6,Others,29.7,17.82,60,0
EPX,0,0,2 way Comprehensive Plan,6,THAILAND,25.0,0.0,34,0
CWT,0,0,Rental Vehicle Excess Insurance,16,Others,49.5,29.7,48,0
JZI,1,0,Others,2,CHINA,22.0,7.7,36,0
EPX,0,0,Cancellation Plan,62,Others,50.0,0.0,36,0
EPX,0,0,Others,6,Others,23.0,0.0,49,0
CWT,0,0,Rental Vehicle Excess Insurance,11,Others,39.6,23.76,47,0
JZI,1,0,Others,84,Others,69.0,24.15,34,0
EPX,0,0,2 way Comprehensive Plan,63,Others,112.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,17,Others,20.0,0.0,36,0
C2B,1,0,Others,12,SINGAPORE,16.0,4.0,21,0
EPX,0,0,2 way Comprehensive Plan,33,MALAYSIA,21.0,0.0,36,0
JZI,1,1,Others,43,Others,83.0,29.05,59,0
EPX,0,0,Cancellation Plan,19,Others,34.0,0.0,36,0
EPX,0,0,Cancellation Plan,73,Others,16.0,0.0,36,0
C2B,1,0,Others,6,SINGAPORE,35.5,8.88,29,0
JZI,1,0,Others,17,CHINA,58.0,20.3,30,0
Others,0,1,Others,38,MALAYSIA,30.0,10.5,63,0
EPX,0,0,2 way Comprehensive Plan,5,Others,38.0,0.0,35,0
EPX,0,0,2 way Comprehensive Plan,14,Others,53.0,0.0,36,0
JZI,1,0,Others,39,Others,26.0,9.1,54,0
EPX,0,0,2 way Comprehensive Plan,13,THAILAND,35.0,0.0,36,0
EPX,0,0,Cancellation Plan,70,Others,80.0,0.0,59,0
EPX,0,0,Cancellation Plan,7,MALAYSIA,10.0,0.0,36,0
JZI,1,0,Others,4,Others,18.0,6.3,30,0
EPX,0,0,2 way Comprehensive Plan,33,Others,30.0,0.0,27,0
EPX,0,0,Cancellation Plan,3,CHINA,18.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,62,Others,20.0,0.0,43,0
CWT,0,0,Rental Vehicle Excess Insurance,100,Others,59.4,35.64,31,0
EPX,0,0,Cancellation Plan,13,SINGAPORE,24.0,0.0,36,0
JZI,1,0,Others,68,CHINA,40.0,14.0,21,0
C2B,1,0,Others,4,SINGAPORE,13.5,3.38,28,0
C2B,1,0,Others,64,SINGAPORE,63.5,15.88,60,0
EPX,0,0,Cancellation Plan,8,Others,73.0,0.0,36,0
JZI,1,0,Others,5,CHINA,45.0,15.75,42,0
EPX,0,0,Cancellation Plan,14,CHINA,13.0,0.0,36,0
EPX,0,0,Cancellation Plan,13,MALAYSIA,14.0,0.0,36,0
EPX,0,0,Cancellation Plan,9,Others,10.0,0.0,36,0
EPX,0,0,Cancellation Plan,31,Others,16.0,0.0,27,0
EPX,0,0,Cancellation Plan,44,MALAYSIA,10.0,0.0,53,0
EPX,0,0,2 way Comprehensive Plan,24,SINGAPORE,112.0,0.0,36,0
EPX,0,0,Cancellation Plan,25,Others,19.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,77,Others,112.0,0.0,40,0
EPX,0,0,2 way Comprehensive Plan,6,CHINA,41.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,26,THAILAND,28.0,0.0,36,0
EPX,0,0,Cancellation Plan,88,Others,102.0,0.0,45,0
EPX,0,0,2 way Comprehensive Plan,12,Others,20.0,0.0,36,0
EPX,0,0,Cancellation Plan,38,CHINA,26.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,6,MALAYSIA,9.9,5.94,45,0
C2B,1,0,Others,14,SINGAPORE,43.55,10.89,47,0
EPX,0,0,Cancellation Plan,16,MALAYSIA,10.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,13,THAILAND,21.0,0.0,36,0
EPX,0,0,Cancellation Plan,19,CHINA,25.0,0.0,36,0
Others,1,0,Others,2,Others,15.0,6.0,66,0
CWT,0,0,Rental Vehicle Excess Insurance,21,Others,9.9,5.94,28,0
EPX,0,0,2 way Comprehensive Plan,69,Others,81.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,69,Others,59.4,35.64,40,0
C2B,1,0,Others,8,SINGAPORE,20.0,5.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,38,Others,0.0,17.82,30,0
EPX,0,0,Cancellation Plan,2,SINGAPORE,10.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,8,THAILAND,75.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,45,Others,79.2,47.52,31,0
EPX,0,0,2 way Comprehensive Plan,56,Others,94.0,0.0,36,0
EPX,0,0,Cancellation Plan,2,Others,12.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,4,MALAYSIA,20.0,0.0,45,0
JZI,1,0,Others,10,CHINA,35.0,12.25,59,0
EPX,0,0,Cancellation Plan,19,SINGAPORE,21.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,10,THAILAND,29.7,17.82,31,0
C2B,1,0,Others,34,SINGAPORE,109.0,27.25,27,0
JZI,1,0,Others,39,Others,33.0,11.55,44,0
EPX,0,0,Others,18,SINGAPORE,20.0,0.0,36,0
EPX,0,0,Cancellation Plan,40,Others,80.0,0.0,36,0
C2B,1,0,Others,18,SINGAPORE,33.5,8.38,68,0
EPX,0,0,Cancellation Plan,49,Others,19.0,0.0,36,0
C2B,1,0,Others,40,SINGAPORE,72.5,18.13,26,1
EPX,0,0,Cancellation Plan,13,THAILAND,10.0,0.0,26,0
CWT,0,0,Rental Vehicle Excess Insurance,13,Others,39.6,23.76,40,0
EPX,0,0,Cancellation Plan,6,MALAYSIA,10.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,13,Others,99.0,59.4,51,0
C2B,1,0,Others,8,SINGAPORE,22.5,5.63,41,0
EPX,0,0,Cancellation Plan,21,Others,10.0,0.0,25,0
EPX,0,0,2 way Comprehensive Plan,29,CHINA,27.0,0.0,37,0
EPX,0,0,2 way Comprehensive Plan,35,Others,22.0,0.0,36,0
EPX,0,0,Cancellation Plan,5,THAILAND,10.0,0.0,49,0
EPX,0,0,2 way Comprehensive Plan,13,CHINA,35.0,0.0,36,0
EPX,0,0,Cancellation Plan,6,MALAYSIA,10.0,0.0,36,0
JZI,1,0,Others,14,CHINA,35.0,12.25,47,0
C2B,1,0,Others,41,SINGAPORE,33.5,8.38,29,0
Others,1,0,Others,15,Others,31.0,12.4,37,0
EPX,0,0,Cancellation Plan,41,Others,28.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,20,MALAYSIA,20.0,0.0,36,0
JZI,1,0,Others,15,CHINA,22.0,7.7,38,0
EPX,0,0,Cancellation Plan,50,THAILAND,10.0,0.0,27,0
CWT,0,0,Rental Vehicle Excess Insurance,13,Others,69.3,41.58,31,0
C2B,1,0,Others,7,SINGAPORE,18.5,4.63,37,0
EPX,0,0,2 way Comprehensive Plan,90,THAILAND,22.0,0.0,36,0
EPX,0,0,Cancellation Plan,6,THAILAND,12.0,0.0,31,0
EPX,0,0,Cancellation Plan,2,SINGAPORE,11.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,20,MALAYSIA,29.7,17.82,38,0
CWT,0,0,Rental Vehicle Excess Insurance,4,Others,19.8,11.88,28,0
EPX,0,0,Cancellation Plan,18,Others,19.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,49,Others,99.0,59.4,49,0
EPX,0,0,2 way Comprehensive Plan,23,Others,28.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,4,Others,22.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,9,THAILAND,29.7,17.82,30,0
EPX,0,0,2 way Comprehensive Plan,27,Others,20.0,0.0,51,0
CWT,0,0,Rental Vehicle Excess Insurance,17,Others,138.6,83.16,31,0
EPX,0,0,Cancellation Plan,8,Others,12.0,0.0,45,1
CWT,0,0,Rental Vehicle Excess Insurance,13,MALAYSIA,39.6,23.76,49,0
JZI,1,0,Others,35,Others,22.0,7.7,53,0
C2B,1,0,Others,10,SINGAPORE,27.0,6.75,25,0
EPX,0,0,2 way Comprehensive Plan,88,Others,20.0,0.0,36,0
Others,1,0,Others,4,Others,15.0,6.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,29,MALAYSIA,9.9,5.94,51,0
C2B,1,0,Others,13,SINGAPORE,20.0,5.0,42,0
C2B,1,0,Others,4,SINGAPORE,45.0,11.25,51,0
Others,1,0,Others,34,SINGAPORE,3.44,0.96,48,0
C2B,1,0,Others,8,SINGAPORE,17.0,4.25,75,0
EPX,0,0,Cancellation Plan,28,Others,11.0,0.0,65,0
C2B,1,0,Others,65,SINGAPORE,33.5,8.38,32,0
EPX,0,0,2 way Comprehensive Plan,9,MALAYSIA,55.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,46,Others,20.0,0.0,35,0
EPX,0,0,Others,9,SINGAPORE,20.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,78,Others,33.0,0.0,36,0
C2B,1,0,Others,10,SINGAPORE,33.5,8.38,24,0
CWT,0,0,Rental Vehicle Excess Insurance,23,Others,89.1,53.46,33,0
JZI,1,0,Others,6,Others,22.0,7.7,55,0
CWT,0,0,Rental Vehicle Excess Insurance,15,Others,0.0,77.22,59,0
EPX,0,0,Others,15,SINGAPORE,31.0,0.0,36,0
CWT,0,0,Rental Vehicle Excess Insurance,93,Others,138.6,83.16,53,0
JZI,1,0,Others,13,Others,22.0,7.7,38,0
EPX,0,0,Cancellation Plan,28,Others,10.0,0.0,36,0
Others,1,0,Others,6,Others,15.0,6.0,50,0
Others,1,0,Others,3,Others,15.0,6.0,33,0
EPX,0,0,Cancellation Plan,13,Others,42.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,30,Others,20.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,9,Others,45.0,0.0,36,0
EPX,0,0,Cancellation Plan,3,Others,10.0,0.0,36,0
EPX,0,0,Cancellation Plan,8,MALAYSIA,10.0,0.0,38,0
EPX,0,0,Others,59,CHINA,20.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,35,Others,29.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,21,MALAYSIA,20.0,0.0,36,0
EPX,0,0,Others,4,Others,38.0,0.0,35,0
EPX,0,0,Cancellation Plan,17,Others,15.0,0.0,35,0
EPX,0,0,Cancellation Plan,14,Others,10.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,5,THAILAND,22.0,0.0,49,0
EPX,0,0,Cancellation Plan,40,Others,16.0,0.0,25,0
C2B,1,0,Others,11,SINGAPORE,27.0,6.75,32,0
EPX,0,0,Cancellation Plan,9,CHINA,43.0,0.0,35,0
Others,1,0,Others,16,Others,3.22,1.13,48,0
EPX,0,0,Cancellation Plan,75,Others,10.0,0.0,36,0
EPX,0,0,Cancellation Plan,47,Others,14.0,0.0,36,0
EPX,0,0,Cancellation Plan,22,Others,35.0,0.0,36,0
